code,tradeStatus,code_name
sh.000001,1,上证综合指数
sh.000002,1,上证A股指数
sh.000003,1,上证B股指数
sh.000004,1,上证工业类指数
sh.000005,1,上证商业类指数
sh.000006,1,上证房地产指数
sh.000007,1,上证公用事业指数
sh.000008,1,上证综合业类指数
sh.000009,1,上证380
sh.000010,1,上证180指数
sh.000011,1,上证基金指数
sh.000012,1,上证国债指数
sh.000013,1,上证企业债指数
sh.000015,1,上证红利指数
sh.000016,1,上证50指数
sh.000017,1,新上证综指
sh.000018,1,上证180金融股指数
sh.000019,1,上证公司治理指数
sh.000020,1,上证中型企业综合指数
sh.000021,1,上证180公司治理指数
sh.000022,1,沪公司债
sh.000025,1,上证180基建指数
sh.000026,1,上证180资源指数
sh.000027,1,上证180交通运输指数
sh.000028,1,上证180成长指数
sh.000029,1,上证180价值指数
sh.000030,1,上证180相对成长指数
sh.000031,1,上证180相对价值指数
sh.000032,1,上证能源行业指数
sh.000033,1,上证原材料行业指数
sh.000034,1,上证工业行业指数
sh.000035,1,上证可选消费行业指数
sh.000036,1,上证主要消费行业指数
sh.000037,1,上证医药卫生行业指数
sh.000038,1,上证金融地产行业指数
sh.000039,1,上证信息技术行业指数
sh.000040,1,上证电信业务行业指数
sh.000041,1,上证公用事业行业指数
sh.000042,1,上证中央企业50指数
sh.000043,1,上证超级大盘指数
sh.000044,1,上证中盘
sh.000045,1,上证小盘
sh.000046,1,上证中小
sh.000047,1,上证全指
sh.000048,1,责任指数
sh.000049,1,上证民企
sh.000050,1,50等权
sh.000051,1,180等权
sh.000052,1,50基本
sh.000053,1,180基本
sh.000054,1,上证海外
sh.000056,1,上证国企
sh.000057,1,全指成长
sh.000058,1,全指价值
sh.000059,1,全R成长
sh.000060,1,全R价值
sh.000061,1,沪企债30
sh.000062,1,上证沪企
sh.000063,1,上证周期
sh.000064,1,非周期
sh.000065,1,上证龙头
sh.000066,1,上证商品
sh.000067,1,上证新兴
sh.000068,1,上证资源
sh.000069,1,消费80
sh.000070,1,能源等权
sh.000071,1,材料等权
sh.000072,1,工业等权
sh.000073,1,可选等权
sh.000074,1,消费等权
sh.000075,1,医药等权
sh.000076,1,金融等权
sh.000077,1,信息等权
sh.000078,1,电信等权
sh.000079,1,公用等权
sh.000090,1,上证流通
sh.000091,1,沪财中小
sh.000092,1,资源50
sh.000093,1,180分层
sh.000094,1,上证上游
sh.000095,1,上证中游
sh.000096,1,上证下游
sh.000097,1,高端装备
sh.000098,1,上证F200
sh.000099,1,上证F300
sh.000100,1,上证F500
sh.000101,1,上证5年期信用债指数
sh.000102,1,沪投资品
sh.000103,1,沪消费品
sh.000104,1,380能源
sh.000105,1,380材料
sh.000106,1,380工业
sh.000107,1,380可选
sh.000108,1,380消费
sh.000109,1,380医药
sh.000110,1,380金融
sh.000111,1,380信息
sh.000112,1,380电信
sh.000113,1,380公用
sh.000114,1,持续产业
sh.000115,1,380等权
sh.000116,1,上证信用债100指数
sh.000117,1,380成长
sh.000118,1,380价值
sh.000119,1,380R成长
sh.000120,1,380R价值
sh.000121,1,医药主题
sh.000122,1,农业主题
sh.000123,1,上证180动态指数
sh.000125,1,上证180稳定指数
sh.000126,1,消费50
sh.000128,1,380基本
sh.000129,1,180波动
sh.000130,1,380波动
sh.000131,1,上证高新
sh.000132,1,上证100
sh.000133,1,上证150
sh.000134,1,上证银行股指数
sh.000135,1,上证180高贝塔指数
sh.000136,1,上证180低贝塔指数
sh.000137,1,上证380高贝塔指数
sh.000138,1,上证380低贝塔指数
sh.000139,1,上证可转换债券指数
sh.000141,1,上证380动态指数
sh.000142,1,上证380稳定指数
sh.000145,1,上证优势资源产业指数
sh.000146,1,上证优势制造产业指数
sh.000147,1,上证优势消费产业指数
sh.000148,1,上证消费服务领先指数
sh.000149,1,上证180红利指数
sh.000150,1,上证380红利指数
sh.000151,1,上证国有企业红利指数
sh.000152,1,上证中央企业红利指数
sh.000153,1,上证民营企业红利指数
sh.000155,1,上证市值百强指数
sh.000158,1,上证环保产业指数
sh.000159,1,上证沪股通指数
sh.000160,1,上证一带一路主题指数
sh.000161,1,上证中国制造2025主题指数
sh.000162,1,上证互联网+主题指数
sh.000300,1,沪深300指数
sh.000802,1,500沪市
sh.000805,1,A股资源
sh.000806,1,消费服务
sh.000807,1,食品饮料
sh.000808,1,医药生物
sh.000814,1,细分医药
sh.000816,1,细分地产
sh.000819,1,有色金属
sh.000821,1,沪深300红利指数
sh.000823,1,中证800有色
sh.000827,1,中证环保产业指数
sh.000828,1,沪深300高贝塔指数
sh.000832,1,中证可转换债券指数
sh.000833,1,中证1-7年中高收益企债指数
sh.000841,1,中证800制药与生物技术指数
sh.000842,1,中证800等权重指数
sh.000846,1,中证财通中国可持续发展100(ECPIESG)指数
sh.000847,1,中证腾讯济安价值100A股指数
sh.000849,1,沪深300非银行金融指数
sh.000851,1,百发100指数
sh.000852,1,中证1000指数
sh.000853,1,中证申万一带一路主题投资指数
sh.000854,1,中证500原材料指数
sh.000855,1,央视财经500指数
sh.000856,1,中证500工业指数
sh.000857,1,中证500医药卫生指数
sh.000858,1,中证500信息技术指数
sh.000901,1,中证南方小康产业指数
sh.000903,1,中证100指数
sh.000904,1,中证200指数
sh.000905,1,中证500指数
sh.000906,1,中证800指数
sh.000908,1,沪深300能源(一级行业)指数
sh.000909,1,沪深300原材料(一级行业)指数
sh.000910,1,沪深300工业指数
sh.000911,1,沪深300可选消费指数
sh.000912,1,沪深300主要消费指数
sh.000913,1,沪深300医药卫生指数
sh.000914,1,沪深300金融地产指数
sh.000917,1,沪深300公用事业(一级行业)指数
sh.000918,1,沪深300成长指数
sh.000919,1,沪深300价值指数
sh.000922,1,中证红利指数
sh.000925,1,中证锐联基本面50指数
sh.000928,1,中证能源指数
sh.000931,1,中证可选消费指数
sh.000932,1,中证主要消费指数
sh.000933,1,中证医药卫生指数
sh.000934,1,中证金融地产指数
sh.000935,1,中证信息技术指数
sh.000939,1,中证民企成长指数
sh.000940,1,中证财富大盘指数
sh.000944,1,中证内地资源主题指数
sh.000950,1,沪深300基建主题指数
sh.000951,1,沪深300银行指数
sh.000952,1,沪深300地产指数
sh.000957,1,沪深300运输指数
sh.000958,1,中证创业成长指数
sh.000959,1,银河99
sh.000961,1,中证上游资源产业指数
sh.000963,1,中证下游消费与服务产业指数
sh.000964,1,中证新兴产业指数
sh.000966,1,中证锐联基本面400指数
sh.000969,1,沪深300非周期行业指数
sh.000971,1,等权90
sh.000974,1,中证800金融
sh.000975,1,中证钱江30指数
sh.000977,1,中证内地低碳经济主题指数
sh.000978,1,中证医药100指数
sh.000979,1,中证大宗商品股票指数
sh.000982,1,中证500等权重指数
sh.000983,1,智能资产
sh.000984,1,沪深300等权重指数
sh.000986,1,全指能源
sh.000987,1,全指材料
sh.000989,1,全指可选
sh.000990,1,全指消费
sh.000991,1,全指医药
sh.000992,1,全指金融
sh.000993,1,全指信息
sh.000998,1,中证TMT产业主题指数
sh.600000,1,浦发银行
sh.600004,1,白云机场
sh.600006,1,东风汽车
sh.600007,1,中国国贸
sh.600008,1,首创股份
sh.600009,1,上海机场
sh.600010,1,包钢股份
sh.600011,1,华能国际
sh.600012,1,皖通高速
sh.600015,1,华夏银行
sh.600016,1,民生银行
sh.600017,1,日照港
sh.600018,1,上港集团
sh.600019,1,宝钢股份
sh.600020,1,中原高速
sh.600021,1,上海电力
sh.600022,1,山东钢铁
sh.600023,1,浙能电力
sh.600025,1,华能水电
sh.600026,1,中远海能
sh.600027,1,华电国际
sh.600028,1,中国石化
sh.600029,1,南方航空
sh.600030,1,中信证券
sh.600031,1,三一重工
sh.600033,1,福建高速
sh.600035,1,楚天高速
sh.600036,1,招商银行
sh.600037,1,歌华有线
sh.600038,1,中直股份
sh.600039,1,四川路桥
sh.600048,1,保利地产
sh.600050,1,中国联通
sh.600051,1,宁波联合
sh.600052,1,浙江广厦
sh.600053,1,九鼎投资
sh.600054,1,黄山旅游
sh.600055,1,万东医疗
sh.600056,1,中国医药
sh.600057,1,厦门象屿
sh.600058,1,五矿发展
sh.600059,1,古越龙山
sh.600060,1,海信视像
sh.600061,1,国投资本
sh.600062,1,华润双鹤
sh.600063,1,皖维高新
sh.600064,1,南京高科
sh.600066,1,宇通客车
sh.600067,1,冠城大通
sh.600068,1,葛洲坝
sh.600069,1,退市银鸽
sh.600070,1,浙江富润
sh.600071,1,凤凰光学
sh.600072,1,中船科技
sh.600073,1,上海梅林
sh.600075,1,新疆天业
sh.600076,1,康欣新材
sh.600077,1,宋都股份
sh.600078,1,澄星股份
sh.600079,1,人福医药
sh.600080,1,ST金花
