code,tradeStatus,code_name
sh.600009,1,上海机场
sh.600019,1,宝钢股份
sh.600028,1,中国石化
sh.600030,1,中信证券
sh.600031,1,三一重工
sh.600036,1,招商银行
sh.600038,1,中直股份
sh.600048,1,保利地产
sh.600066,1,宇通客车
sh.600079,1,人福医药
sh.600104,1,上汽集团
sh.600132,1,重庆啤酒
sh.600161,1,天坛生物
sh.600167,1,联美控股
sh.600171,1,上海贝岭
sh.600176,1,中国巨石
sh.600183,1,生益科技
sh.600196,1,复星医药
sh.600201,1,生物股份
sh.600276,1,恒瑞医药
sh.600298,1,安琪酵母
sh.600309,1,万华化学
sh.600332,1,白云山
sh.600346,1,恒力石化
sh.600362,1,江西铜业
sh.600406,1,国电南瑞
sh.600426,1,华鲁恒升
sh.600436,1,片仔癀
sh.600438,1,通威股份
sh.600460,1,士兰微
sh.600486,1,扬农化工
sh.600498,1,烽火通信
sh.600519,1,贵州茅台
sh.600521,1,华海药业
sh.600529,1,山东药玻
sh.600536,1,中国软件
sh.600547,1,山东黄金
sh.600563,1,法拉电子
sh.600570,1,恒生电子
sh.600584,1,长电科技
sh.600585,1,海螺水泥
sh.600588,1,用友网络
sh.600597,1,光明乳业
sh.600600,1,青岛啤酒
sh.600660,1,福耀玻璃
sh.600690,1,海尔智家
sh.600699,1,均胜电子
sh.600703,1,三安光电
sh.600741,1,华域汽车
sh.600745,1,闻泰科技
sh.600760,1,中航沈飞
sh.600763,1,通策医疗
sh.600765,1,中航重机
sh.600779,1,水井坊
sh.600809,1,山西汾酒
sh.600845,1,宝信软件
sh.600862,1,中航高科
sh.600872,1,中炬高新
sh.600885,1,宏发股份
sh.600887,1,伊利股份
sh.600893,1,航发动力
sh.600900,1,长江电力
sh.600933,1,爱柯迪
sh.600965,1,福成股份
sh.600984,1,建设机械
sh.601012,1,隆基股份
sh.601021,1,春秋航空
sh.601066,1,中信建投
sh.601088,1,中国神华
sh.601100,1,恒立液压
sh.601166,1,兴业银行
sh.601186,1,中国铁建
sh.601233,1,桐昆股份
sh.601318,1,中国平安
sh.601398,1,工商银行
sh.601601,1,中国太保
sh.601628,1,中国人寿
sh.601633,1,长城汽车
sh.601668,1,中国建筑
sh.601689,1,拓普集团
sh.601766,1,中国中车
sh.601799,1,星宇股份
sh.601816,1,京沪高铁
sh.601865,1,福莱特
sh.601877,1,正泰电器
sh.601888,1,中国中免
sh.601899,1,紫金矿业
sh.601901,1,方正证券
sh.601933,1,永辉超市
sh.601965,1,中国汽研
sh.603005,1,晶方科技
sh.603019,1,中科曙光
sh.603043,1,广州酒家
sh.603056,1,德邦股份
sh.603129,1,春风动力
sh.603160,1,汇顶科技
sh.603218,1,日月股份
sh.603233,1,大参林
sh.603259,1,药明康德
sh.603267,1,鸿远电子
sh.603288,1,海天味业
sh.603298,1,杭叉集团
sh.603338,1,浙江鼎力
sh.603345,1,安井食品
sh.603369,1,今世缘
sh.603444,1,吉比特
sh.603456,1,九洲药业
sh.603486,1,科沃斯
sh.603501,1,韦尔股份
sh.603517,1,绝味食品
sh.603520,1,司太立
sh.603568,1,伟明环保
sh.603658,1,安图生物
sh.603659,1,璞泰来
sh.603678,1,火炬电子
sh.603707,1,健友股份
sh.603708,1,家家悦
sh.603713,1,密尔克卫
sh.603719,1,良品铺子
sh.603799,1,华友钴业
sh.603806,1,福斯特
sh.603816,1,顾家家居
sh.603833,1,欧派家居
sh.603866,1,桃李面包
sh.603882,1,金域医学
sh.603883,1,老百姓
sh.603899,1,晨光文具
sh.603927,1,中科软
sh.603939,1,益丰药房
sh.603986,1,兆易创新
sh.688002,1,睿创微纳
sh.688008,1,澜起科技
sh.688012,1,中微公司
sh.688036,1,传音控股
sh.688099,1,晶晨股份
sh.688111,1,金山办公
sh.688126,1,沪硅产业
sh.688169,1,石头科技
sh.688536,1,思瑞浦
sh.688981,1,中芯国际
sz.000001,1,平安银行
sz.000002,1,万科A
sz.000063,1,中兴通讯
sz.000066,1,中国长城
sz.000100,1,TCL科技
sz.000157,1,中联重科
sz.000333,1,美的集团
sz.000338,1,潍柴动力
sz.000401,1,冀东水泥
sz.000538,1,云南白药
sz.000547,1,航天发展
sz.000568,1,泸州老窖
sz.000596,1,古井贡酒
sz.000625,1,长安汽车
sz.000636,1,风华高科
sz.000651,1,格力电器
sz.000661,1,长春高新
sz.000672,1,上峰水泥
sz.000708,1,中信特钢
sz.000710,1,贝瑞基因
sz.000725,1,京东方A
sz.000729,1,燕京啤酒
sz.000733,1,振华科技
sz.000738,1,航发控制
sz.000739,1,普洛药业
sz.000768,1,中航西飞
sz.000786,1,北新建材
sz.000799,1,酒鬼酒
sz.000858,1,五粮液
sz.000860,1,顺鑫农业
sz.000869,1,张裕A
sz.000876,1,新希望
sz.000895,1,双汇发展
sz.000902,1,新洋丰
sz.000938,1,紫光股份
sz.000977,1,浪潮信息
sz.001914,1,招商积余
sz.002007,1,华兰生物
sz.002008,1,大族激光
sz.002013,1,中航机电
sz.002025,1,航天电器
sz.002027,1,分众传媒
sz.002032,1,苏泊尔
sz.002044,1,美年健康
sz.002049,1,紫光国微
sz.002050,1,三花智控
sz.002055,1,得润电子
sz.002065,1,东华软件
sz.002074,1,国轩高科
sz.002078,1,太阳纸业
sz.002079,1,苏州固锝
sz.002080,1,中材科技
sz.002127,1,南极电商
sz.002129,1,中环股份
sz.002142,1,宁波银行
sz.002156,1,通富微电
sz.002179,1,中航光电
sz.002185,1,华天科技
sz.002202,1,金风科技
sz.002230,1,科大讯飞
sz.002236,1,大华股份
sz.002241,1,歌尔股份
sz.002271,1,东方雨虹
sz.002304,1,洋河股份
sz.002311,1,海大集团
sz.002352,1,顺丰控股
sz.002367,1,康力电梯
sz.002371,1,北方华创
sz.002372,1,伟星新材
sz.002384,1,东山精密
sz.002410,1,广联达
sz.002414,1,高德红外
sz.002415,1,海康威视
sz.002439,1,启明星辰
sz.002444,1,巨星科技
sz.002460,1,赣锋锂业
sz.002461,1,珠江啤酒
sz.002463,1,沪电股份
sz.002465,1,海格通信
sz.002475,1,立讯精密
sz.002493,1,荣盛石化
sz.002507,1,涪陵榨菜
sz.002508,1,老板电器
sz.002511,1,中顺洁柔
sz.002534,1,杭锅股份
sz.002555,1,三七互娱
sz.002557,1,洽洽食品
sz.002568,1,百润股份
sz.002594,1,比亚迪
sz.002600,1,领益智造
sz.002607,1,中公教育
sz.002624,1,完美世界
sz.002626,1,金达威
sz.002635,1,安洁科技
sz.002645,1,华宏科技
sz.002690,1,美亚光电
sz.002698,1,博实股份
sz.002705,1,新宝股份
sz.002709,1,天赐材料
sz.002714,1,牧原股份
sz.002773,1,康弘药业
sz.002812,1,恩捷股份
sz.002821,1,凯莱英
sz.002841,1,视源股份
sz.002891,1,中宠股份
sz.002916,1,深南电路
sz.002920,1,德赛西威
sz.002938,1,鹏鼎控股
sz.003816,1,中国广核
sz.300003,1,乐普医疗
sz.300012,1,华测检测
sz.300014,1,亿纬锂能
sz.300015,1,爱尔眼科
sz.300033,1,同花顺
sz.300036,1,超图软件
sz.300037,1,新宙邦
sz.300054,1,鼎龙股份
sz.300059,1,东方财富
sz.300073,1,当升科技
sz.300113,1,顺网科技
sz.300115,1,长盈精密
sz.300122,1,智飞生物
sz.300124,1,汇川技术
sz.300136,1,信维通信
sz.300142,1,沃森生物
sz.300144,1,宋城演艺
sz.300188,1,美亚柏科
sz.300207,1,欣旺达
sz.300233,1,金城医药
sz.300236,1,上海新阳
sz.300244,1,迪安诊断
sz.300251,1,光线传媒
sz.300253,1,卫宁健康
sz.300274,1,阳光电源
sz.300285,1,国瓷材料
sz.300296,1,利亚德
sz.300298,1,三诺生物
sz.300315,1,掌趣科技
sz.300316,1,晶盛机电
sz.300323,1,华灿光电
sz.300346,1,南大光电
sz.300347,1,泰格医药
sz.300357,1,我武生物
sz.300363,1,博腾股份
sz.300381,1,溢多利
sz.300383,1,光环新网
sz.300387,1,富邦股份
sz.300408,1,三环集团
sz.300413,1,芒果超媒
sz.300416,1,苏试试验
sz.300433,1,蓝思科技
sz.300450,1,先导智能
sz.300454,1,深信服
sz.300496,1,中科创达
sz.300498,1,温氏股份
sz.300511,1,雪榕生物
sz.300529,1,健帆生物
sz.300558,1,贝达药业
sz.300568,1,星源材质
sz.300572,1,安车检测
sz.300595,1,欧普康视
sz.300601,1,康泰生物
sz.300602,1,飞荣达
sz.300623,1,捷捷微电
sz.300628,1,亿联网络
sz.300661,1,圣邦股份
sz.300677,1,英科医疗
sz.300699,1,光威复材
sz.300724,1,捷佳伟创
sz.300750,1,宁德时代
sz.300751,1,迈为股份
sz.300759,1,康龙化成
sz.300760,1,迈瑞医疗
sz.300771,1,智莱科技
sz.300782,1,卓胜微
sz.300783,1,三只松鼠
sz.300792,1,壹网壹创
