code,tradeStatus,code_name
sh.600009,1,上海机场
sh.600028,1,中国石化
sh.600030,1,中信证券
sh.600031,1,三一重工
sh.600036,1,招商银行
sh.600048,1,保利地产
sh.600066,1,宇通客车
sh.600104,1,上汽集团
sh.600161,1,天坛生物
sh.600183,1,生益科技
sh.600196,1,复星医药
sh.600201,1,生物股份
sh.600276,1,恒瑞医药
sh.600309,1,万华化学
sh.600406,1,国电南瑞
sh.600426,1,华鲁恒升
sh.600438,1,通威股份
sh.600486,1,扬农化工
sh.600498,1,烽火通信
sh.600519,1,贵州茅台
sh.600529,1,山东药玻
sh.600536,1,中国软件
sh.600547,1,山东黄金
sh.600570,1,恒生电子
sh.600584,1,长电科技
sh.600585,1,海螺水泥
sh.600588,1,用友网络
sh.600690,1,海尔智家
sh.600703,1,三安光电
sh.600741,1,华域汽车
sh.600745,1,闻泰科技
sh.600763,1,通策医疗
sh.600809,1,山西汾酒
sh.600872,1,中炬高新
sh.600887,1,伊利股份
sh.600900,1,长江电力
sh.601012,1,隆基股份
sh.601088,1,中国神华
sh.601100,1,恒立液压
sh.601166,1,兴业银行
sh.601186,1,中国铁建
sh.601318,1,中国平安
sh.601398,1,工商银行
sh.601668,1,中国建筑
sh.601766,1,中国中车
sh.601816,1,京沪高铁
sh.601888,1,中国中免
sh.601899,1,紫金矿业
sh.601901,1,方正证券
sh.601933,1,永辉超市
sh.603005,1,晶方科技
sh.603019,1,中科曙光
sh.603160,1,汇顶科技
sh.603233,1,大参林
sh.603259,1,药明康德
sh.603288,1,海天味业
sh.603345,1,安井食品
sh.603444,1,吉比特
sh.603501,1,韦尔股份
sh.603517,1,绝味食品
sh.603658,1,安图生物
sh.603707,1,健友股份
sh.603708,1,家家悦
sh.603882,1,金域医学
sh.603883,1,老百姓
sh.603899,1,晨光文具
sh.603939,1,益丰药房
sh.603986,1,兆易创新
sh.688111,1,金山办公
sz.000001,1,平安银行
sz.000002,1,万科A
sz.000063,1,中兴通讯
sz.000333,1,美的集团
sz.000338,1,潍柴动力
sz.000401,1,冀东水泥
sz.000538,1,云南白药
sz.000568,1,泸州老窖
sz.000596,1,古井贡酒
sz.000651,1,格力电器
sz.000661,1,长春高新
sz.000708,1,中信特钢
sz.000725,1,京东方A
sz.000739,1,普洛药业
sz.000786,1,北新建材
sz.000858,1,五粮液
sz.000860,1,顺鑫农业
sz.000876,1,新希望
sz.000895,1,双汇发展
sz.000977,1,浪潮信息
sz.002007,1,华兰生物
sz.002027,1,分众传媒
sz.002032,1,苏泊尔
sz.002044,1,美年健康
sz.002050,1,三花智控
sz.002065,1,东华软件
sz.002078,1,太阳纸业
sz.002127,1,南极电商
sz.002129,1,中环股份
sz.002179,1,中航光电
sz.002185,1,华天科技
sz.002202,1,金风科技
sz.002230,1,科大讯飞
sz.002241,1,歌尔股份
sz.002271,1,东方雨虹
sz.002304,1,洋河股份
sz.002311,1,海大集团
sz.002352,1,顺丰控股
sz.002371,1,北方华创
sz.002384,1,东山精密
sz.002410,1,广联达
sz.002414,1,高德红外
sz.002415,1,海康威视
sz.002439,1,启明星辰
sz.002460,1,赣锋锂业
sz.002463,1,沪电股份
sz.002475,1,立讯精密
sz.002511,1,中顺洁柔
sz.002555,1,三七互娱
sz.002557,1,洽洽食品
sz.002594,1,比亚迪
sz.002607,1,中公教育
sz.002624,1,完美世界
sz.002714,1,牧原股份
sz.002773,1,康弘药业
sz.002821,1,凯莱英
sz.002841,1,视源股份
sz.002916,1,深南电路
sz.300003,1,乐普医疗
sz.300012,1,华测检测
sz.300014,1,亿纬锂能
sz.300015,1,爱尔眼科
sz.300059,1,东方财富
sz.300113,1,顺网科技
sz.300122,1,智飞生物
sz.300124,1,汇川技术
sz.300136,1,信维通信
sz.300142,1,沃森生物
sz.300144,1,宋城演艺
sz.300188,1,美亚柏科
sz.300207,1,欣旺达
sz.300253,1,卫宁健康
sz.300285,1,国瓷材料
sz.300347,1,泰格医药
sz.300357,1,我武生物
sz.300383,1,光环新网
sz.300413,1,芒果超媒
sz.300450,1,先导智能
sz.300454,1,深信服
sz.300498,1,温氏股份
sz.300529,1,健帆生物
sz.300601,1,康泰生物
sz.300628,1,亿联网络
sz.300661,1,圣邦股份
sz.300699,1,光威复材
sz.300750,1,宁德时代
sz.300760,1,迈瑞医疗
sz.300782,1,卓胜微
sz.300792,1,壹网壹创
